,Title,Summary,Director,Writer,Main Genres,Release Year,Runtime (Minutes),Rating (Out of 10),metadata
810,speak no evil,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,Christian Tafdrup,"Mads Tafdrup,Christian Tafdrup","Drama,Horror,Thriller",2022.0,97.0,6.6,danish family visit dutch family met holiday supposed idyllic weekend slowly start unraveling dane try stay polite face unpleasantness mads tafdrup christian tafdrup christian tafdrup drama horror thriller
811,war dogs,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",Todd Phillips,"Stephen Chin,Todd Phillips,Jason Smilovic","Biography,Comedy,Crime",2016.0,114.0,7.1,loosely based true story two young men david packouz efraim diveroli three hundred million dollar contract pentagon arm america ally afghanistan stephen chin todd phillips jason smilovic todd phillips biography comedy crime
812,all dirt roads taste of salt,"A decades-spanning exploration of a woman's life in Mississippi and an ode to the generations of people, places, and ineffable moments that shape us.",Raven Jackson,Raven Jackson,Drama,2023.0,92.0,6.0,decade spanning exploration woman life mississippi ode generation people place ineffable moment shape u raven jackson raven jackson drama
813,fractured,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",Brad Anderson,Alan B. McElroy,"Drama,Mystery,Thriller",2019.0,99.0,6.4,couple stop gas station daughter arm fractured hurry hospital something strange going wife daughter go missing alan b mcelroy brad anderson drama mystery thriller
814,dark city,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",Alex Proyas,"Lem Dobbs,David S. Goyer,Alex Proyas","Fantasy,Mystery,Sci-Fi",1998.0,100.0,7.6,man struggle memory past include wife cannot remember nightmarish world one else ever seems wake lem dobbs david goyer alex proyas alex proyas fantasy mystery sci fi
815,scream 2,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",Wes Craven,,"Horror,Mystery",1997.0,2.0,6.3,two year first series murder sidney acclimates college life someone donning ghostface costume begin new string killing wes craven horror mystery
816,lucky number slevin,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Paul McGuigan,Jason Smilovic,"Crime,Drama,Thriller",2006.0,110.0,7.7,case mistaken identity land slevin middle war plotted two city rival crime boss constant surveillance detective brikowski assassin goodkat must get get jason smilovic paul mcguigan crime drama thriller
817,godzilla,French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,Roland Emmerich,"Roland Emmerich,Ted Elliott(credit only),Dean Devlin,Ted Elliott","Action,Sci-Fi,Thriller",1998.0,139.0,5.4,french nuclear test irradiate iguana giant monster head new york city american military must chase monster across city stop reproduces roland emmerich ted elliott credit dean devlin ted elliott roland emmerich action sci fi thriller
818,about dry grasses,"A young teacher hopes to be appointed to Istanbul after mandatory duty at a small village. After a long time waiting he loses all hope of escaping from this gloomy life. However, his colleague Nuray helps him to regain perspective.",Nuri Bilge Ceylan,"Nuri Bilge Ceylan,Ebru Ceylan,Akin Aksu",Drama,2023.0,197.0,8.1,young teacher hope appointed istanbul mandatory duty small village long time waiting loses hope escaping gloomy life however colleague nuray help regain perspective nuri bilge ceylan ebru ceylan akin aksu nuri bilge ceylan drama
819,source code,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,Duncan Jones,Ben Ripley,"Action,Drama,Mystery",2011.0,93.0,7.5,soldier wake someone else body discovers part experimental government program find bomber commuter train within minute ben ripley duncan jones action drama mystery
